,insert_order,role,name,aliases,Note
195,480,Blizzard North Game Review,Bill Roper,,
196,481,Blizzard North Game Review,Mike Scandizzo,,
197,482,Blizzard North Game Review,Erich Schaefer,,
198,483,Blizzard North Game Review,Max Schaefer,,
199,484,Blizzard North Game Review,Tyler Thompson,,
200,485,Blizzard North Game Review,Ken Williams,,
201,486,Multiplayer Maps,Andrew Brownell,,
202,487,Multiplayer Maps,Zach Callanan,,
203,488,Multiplayer Maps,Tim Campbell,,
204,489,Multiplayer Maps,Jeremy Cargilo,,
205,490,Multiplayer Maps,Eric Dodds,,
206,491,Multiplayer Maps,Dave Fried,,
207,492,Multiplayer Maps,Ron Frybarger,,
208,493,Multiplayer Maps,Dave Hale,,
209,494,Multiplayer Maps,Edward Hanes,,
210,495,Multiplayer Maps,Dana Jan,,
211,496,Multiplayer Maps,Derek Johnstone,,
212,497,Multiplayer Maps,Mike Kramer,,
213,498,Multiplayer Maps,Nicholas Lawson,,
214,499,Multiplayer Maps,Johnathan Mankin,,
215,500,Multiplayer Maps,Scott Mercer,,
216,501,Multiplayer Maps,Kaeo Milker,,
217,502,Multiplayer Maps,Matt Morris,,
218,503,Multiplayer Maps,Michael Nguyen,,
219,504,Multiplayer Maps,Nichael Pisani,,
220,505,Multiplayer Maps,Dean Shipley,,
221,506,Multiplayer Maps,Evelyn Smith,,
222,507,Multiplayer Maps,John Woo,,
223,508,Manual Development & Editing,Eli Catalan,,
224,509,Manual Development & Editing,Elliott Chin,,
225,510,Manual Development & Editing,Melissa Edwards,,
226,511,Manual Development & Editing,Dave Fried,,
227,512,Manual Development & Editing,Jason Hutchins,,
228,513,Manual Development & Editing,Scott Mercer,,
229,514,Manual Development & Editing,Chris Metzen,,
230,515,Manual Development & Editing,Susan Sams,,
231,516,Manual Development & Editing,Mikey Schaefer,,
232,517,Manual Development & Editing,Evelyn Smith,,
233,518,Manual Development & Editing,Peter Underwood,,
234,519,Manual Artwork,Samwise Didier,,
235,520,Manual Artwork,Chris Metzen,,
236,521,Manual Artwork,Ted Park,,
237,522,Manual Artwork,Ru Weerasuriya,,
238,523,QA Management,Christopher Manley,,
239,524,QA Management,Mark Moser,,
240,525,QA Management,Ian Welke,,
241,526,QA Lead Tester,Ed Kang,,
242,527,QA Assistant Lead Tester,Kelly Chun,,
243,528,QA Technical Engineer,Evelyn Smith,,
244,529,QA Team Leads,Zach Allen,,
245,530,QA Team Leads,Michael Backus,,
246,531,QA Team Leads,Ilya Berelson,,
247,532,QA Team Leads,Zach Callanan,,
248,533,QA Team Leads,James Chadwick,,
249,534,QA Team Leads,Michael Chu,,
250,535,QA Team Leads,Les Douglas,,
251,536,QA Team Leads,Robert Foote,,
252,537,QA Team Leads,Ron Frybarger,,
253,538,QA Team Leads,Gary Gibson,,
254,539,QA Team Leads,Manny Gonzales,,
255,540,QA Team Leads,Ray Laubach,,
256,541,QA Team Leads,Dean Lee,,
257,542,QA Team Leads,Matt Lee,,
258,543,QA Team Leads,Brian Love,,
259,544,QA Team Leads,Jonathan Mankin,,
260,545,QA Team Leads,Sean McCrea,,
261,546,QA Team Leads,Michael Murphy,,
262,547,QA Team Leads,Justin Parker,,
263,548,QA Team Leads,Michael Schaefer,,
264,549,QA Team Leads,Emilio Segura,,
265,550,QA Team Leads,Dean Shimonishi,,
266,551,QA Team Leads,Stan Wang,,
267,552,Game Tester,Aaron Adams,,
268,553,Game Tester,Michael Barken,,
269,554,Game Tester,Andrew Brownell,,
270,555,Game Tester,Edward Bui,,
271,556,Game Tester,Jeremy Cargilo,,
272,557,Game Tester,Shane Cargilo,,
273,558,Game Tester,Charles Carter,,
274,559,Game Tester,Bryan Chen,,
275,560,Game Tester,Jack Chen,,
276,561,Game Tester,Michelle Elbert,,
277,562,Game Tester,Jason Fader,,
278,563,Game Tester,Christopher Fisher,,
279,564,Game Tester,Arthur Fong,,
280,565,Game Tester,Derek Johnstone,,
281,566,Game Tester,Dennis Lam,,
282,567,Game Tester,Jonas Laster,,
283,568,Game Tester,Nichael Lawson,,
284,569,Game Tester,Allen Lin,,
285,570,Game Tester,John Meyers,,
286,571,Game Tester,Kaeo Milker,,
287,572,Game Tester,Brian Mitchell,,
288,573,Game Tester,Danny Nguyen,,
289,574,Game Tester,Nick Pisani,,
290,575,Game Tester,William Roseman,,
291,576,Game Tester,Lloyd Tullues,,
292,577,Game Tester,Brian Urquhart,,
293,578,Game Tester,John Wick,,
294,579,Game Tester,Stephen Wong,,
295,580,Game Tester,John Yoo,,
296,581,Additional Tester,Jose Aello,,
297,582,Additional Tester,Carlo Arellano,,
298,583,Additional Tester,Ted Barken,,
299,584,Additional Tester,Bo Bell,,
300,585,Additional Tester,Jesse Blomberg,,
301,586,Additional Tester,Jeanette Clausen,,
302,587,Additional Tester,David Dooley,,
303,588,Additional Tester,Mark Downie,,
304,589,Additional Tester,Roger Eberhart,,
305,590,Additional Tester,Tod Fay,,
306,591,Additional Tester,Carlos Guerrero,,
307,592,Additional Tester,Scott Hartin,,
308,593,Additional Tester,Josh Hillborn,,
309,594,Additional Tester,Kevin Jordan,,
310,595,Additional Tester,Jeffrey Kaplan,,
311,596,Additional Tester,Aaron Keller,,
312,597,Additional Tester,Mark Kern,,
313,598,Additional Tester,Joshua Kurtz,,
314,599,Additional Tester,Cameron Lamprecht,,
315,600,Additional Tester,Twain Martin,,
316,601,Additional Tester,Jeff Mclean,,
317,602,Additional Tester,Matt Mocarski,,
318,603,Additional Tester,Dan Moore,,
319,604,Additional Tester,Bill Petras,,
320,605,Additional Tester,David Ray,,
321,606,Additional Tester,Joe Rumsey,,
322,607,Additional Tester,Matt Sanders,,
323,608,Additional Tester,Samuel Schrimsher,,
324,609,Additional Tester,Jamin Shoulet,,
325,610,Additional Tester,John Staats,,
326,611,Additional Tester,Eric Strauss,,
327,612,Additional Tester,Cosmo Taormina,,
328,613,Technical Support Management,Thor Biafore,,
329,614,Technical Support Management,John Sschwartz,,
330,615,Online Support,Timothy Fox,,
331,616,Online Support,Edward Hanes,,
332,617,Online Support,Chad Jones,,
333,618,Online Support,Mike Kramer,,
334,619,Online Support,Alen Lapidis,,
335,620,Online Support,David Nguyen,,
336,621,Online Support,Michael Nguyen,,
337,622,Online Support,Collin Smith,,
338,623,Online Support,Martin Tande,,
339,624,Online Support,Kenny Zigler,,
340,625,Technical Support,Geoff Goodman,,
341,626,Technical Support,Norman Harms,,
342,627,Technical Support,John Hsieh,,
343,628,Technical Support,Kris Nedrebo,,
344,629,Technical Support,Christopher Roberts,,
345,630,Technical Support,Richard Sanford,,
346,631,Technical Support,Adam Slack,,
347,632,Technical Support,Jason Stilwell,,
348,633,Support File Development & Editing,Michael Backus,,
349,634,Support File Development & Editing,Michael Chu,,
350,635,Support File Development & Editing,Edward Hanes,,
351,636,Support File Development & Editing,Edward Kang,,
352,637,Support File Development & Editing,Mike Kramer,,
353,638,Support File Development & Editing,Ray Laubach,,
354,639,Support File Development & Editing,Dean Lee,,
355,640,Support File Development & Editing,Johnathan Mankin,,
356,641,Support File Development & Editing,Collin Smith,,
357,642,Support File Development & Editing,Evelyn Smith,,
358,643,Support File Development & Editing,John Stiles,,
359,644,Technical Support Tools,David Nguyen,,
360,645,Localization & Macintosh Producer,Jason Hutchins,,
361,646,Globalization Producer,Flavie Gufflet,,
362,647,Localization Project Manager,Barry Kehoe,,
363,648,Localization Project Lead,Caitriona Finlay,,
364,649,Localization Project Lead,David Hickey,,
365,650,Localization Project Lead,Padraig McCaul,,
366,651,Localization Lead Engineer,Damien Monaghan,,
367,652,Localization Engineer,Attila Edelenyi,,
368,653,Localization Engineer,Jason King,,
369,654,Localization Engineer,Monte Krol,,
370,655,Localization Engineer,Brendon O' Mahoney,,
371,656,Localization Engineer,Stuart Nolan,,
372,657,Localization QA Leads,Jesus Baquedano Ferrer,,
373,658,Localization QA Leads,David Hickey,,
374,659,Localization QA,Francis Courchinoux,['Frux'],
375,660,Localization QA,Nelly Dietrich,,
376,661,Localization QA,Andrew Hagger,,
377,662,Localization QA,Franchesco Musso,,
378,663,Localization QA,J.C. Pastor,['pAsh'],
379,664,International Web Teams,Sebastien Gernault,,
380,665,International Web Teams,Steve Martin,,
381,666,International Web Teams,Georges Martins,,
382,667,International Web Teams,Stefanie Pranz,,
383,668,International Web Teams,Myriam Santoso,,
384,669,Business Development,Paul W. Sams,,
385,670,Additional Business Development & Operations,Elaine Di lorio,,
386,671,Additional Business Development & Operations,Melissa Edwards,,
387,672,Additional Business Development & Operations,Isaac Matarasso,,
388,673,Battle.net Producer,John Lagrave,,
389,674,Battle.net Network Engineer,Adrian Luff,,
390,675,Battle.net Network Engineer,Hung Nguyen,,
391,676,Information Technologies,Mike Hale,,
392,677,Information Technologies,Kris Mackey,,
393,678,Information Technologies,Kirk Mahoney,,
394,679,Information Technologies,Isaac Matarasso,,
395,680,Information Technologies,Hung Nguyen,,
396,681,Information Technologies,Jeremy Smith,,
397,682,Information Technologies,Robert Van Dusen,,
398,683,Office Administration,Christina Cade,,
399,684,Office Administration,Jamie Neveaux,,
400,685,Office Administration,Lisa Schoner,,
401,686,Financial Management,David Gee,,
402,687,Financial Management,Paul W. Sams,,
403,688,Public Relations,Lisa Bucek,,
404,689,Public Relations,Susan Sams,,
405,690,Public Relations,Gil Shif,,
406,691,Public Relations,Beau Yarbrough,,
407,692,Web Team,Elaine Di lorio,,
408,693,Web Team,Geoff Fraizer,,
409,694,Web Team,Mike Hein,,
410,695,Web Team,Ted Park,,
411,696,Web Team,Blaine Whittle,,
412,697,Legal Counsel,Kevin Crook,,
413,698,Legal Counsel,Will Glenn,,In loving memory
414,699,Legal Counsel,Bob Marafioti,,
415,700,Legal Counsel,Rob Rigole,,
416,701,Legal Counsel,Eric Roeder,,
417,702,Legal Counsel,Patrick Sweeney,,
418,703,Global Brand Management,Neal Hubbard,,
419,704,Marketing & Creative Services,Kathy Carter,,
420,705,Marketing & Creative Services,Jessica Drossin,,
421,706,Marketing & Creative Services,Elisabeth Miller,,
422,707,Marketing & Creative Services,Steven Parker,,
423,708,Marketing & Creative Services,Hayley Sumner,,
424,709,Marketing & Creative Services,Bill Watt,,
425,710,Marketing & Creative Services,Stewart Weiss,,
426,711,Box Cover Artwork,Justin Thavirat,,
427,712,North American Sales,Philip O'Neil,,
428,713,North American Sales,Bruce Slywka,,
429,714,International Sales, Marketing & PRChris Ansell,,
430,715,International Sales, Marketing & PRMichael Fuller,,
431,716,International Sales, Marketing & PRHubert Larenaudie,,
432,717,International Sales, Marketing & PRCyril Marchal,,
433,718,International Sales, Marketing & PRCedric Marechal,,
434,719,International Sales, Marketing & PRChristphe Ramboz,,
435,720,International Sales, Marketing & PRStephane Vallet,,
436,721,International Sales, Marketing & PRMark Warburton,,
437,722,International Sales, Marketing & PRKim Watt,,
438,723,Direct Sales,Rob Beatie,,
439,724,Direct Sales,Kim Bridenbecker,,
440,725,Manufacturing,Tom Bryan,,
441,726,Manufacturing,Jaime Chavez,,
442,727,Manufacturing,Bob Wharton,,
443,728,Recruiting,Pat Nagle,,
444,729,Recruiting,Derek Simmons,,
445,730,Recruiting,Jack Sterling,,
446,731,Recruiting,Bernie Wilkins,,
447,732,Global Launch Team,Lisa Bucek,,
448,733,Global Launch Team,Gerry Cart,,
449,734,Global Launch Team,Melissa Edwards,,
450,735,Global Launch Team,Lang Fredrickson,,
451,736,Global Launch Team,Michael Fuller,,
452,737,Global Launch Team,Flavie Gufflet,,
453,738,Global Launch Team,Neal Hubbard,,
454,739,Global Launch Team,Jason Hutchins,,
455,740,Global Launch Team,Hubert Larenaudie,,
456,741,Global Launch Team,Cyril Marchal,,
457,742,Global Launch Team,Cedric Marechal,,
458,743,Global Launch Team,Mike Morhaime,,
459,744,Global Launch Team,Philip O'Neil,,
460,745,Global Launch Team,Christphe Ramboz,,
461,746,Global Launch Team,Paul W. Sams,,
462,747,Global Launch Team,Chris Sigaty,,
463,748,Global Launch Team,Bruce Slywka,,
464,749,Global Launch Team,Luc Vanhal,,
465,750,Global Launch Team,Steve Voorma,,
