Role,Name
Cinematic Artists,Taylor Smith
Cinematic Artists,Peter Starostin
Cinematic Artists,Takuya Suzuki
Cinematic Artists,Geordie Swainbank
Cinematic Artists,Sofia Vale Cruz
Cinematic Artists,Mathias Verhasselt
Cinematic Artists,Christopher Y. Yang
Cinematic Artists,Jae Hyun Yoo
Cinematic Artists,Kenson Yu
Cinematic Artists,Simon Yuen
Cinematic Artists,Fabio Barretta Zungrone
Tools/R&D Team,Michael Beal
Tools/R&D Team,John Burnett
Tools/R&D Team,Cameron Chrisman
Tools/R&D Team,Patrick Dalton
Tools/R&D Team,David Keegan
Tools/R&D Team,Huong Nguyen
Tools/R&D Team,Chris Rock
Tools/R&D Team,Peter Shinners
Production Team,Patricia L. Adams
Production Team,Angela Blake
Production Team,Tok Braun
Production Team,Leonard Chang
Production Team,Bejan Fozdar
Production Team,Janet Garcia
Production Team,Kim Kotfis Horn
Production Team,Bryan Langford
Production Team,Steve McIlwain
Production Team,Jennifer Owings
Production Team,Jason Michael Smith
Production Team,Taka Yasuda
Additional Production,Joshua Burnett
Additional Production,Tomas Figueroa
In-Game Cinematics Senior Department Supervisor,Scott Goffman
In-Game Cinematics Department Supervisor,Shimon Cohen
In-Game Cinematics Department Lead,Mustazar Essa
In-Game Cinematics Artists,Joanna Cleland-Jolly
In-Game Cinematics Artists,James Crowson
In-Game Cinematics Artists,Chris Evans
In-Game Cinematics Artists,Jeremy Gritton
In-Game Cinematics Artists,Moonsung Lee
In-Game Cinematics Artists,Yeon-Ho Lee
In-Game Cinematics Artists,Kurtis Paddock
In-Game Cinematics Artists,Corey Pelton
In-Game Cinematics Artists,Troy L. Perry
In-Game Cinematics Artists,Joe Peterson
In-Game Cinematics Artists,Zachary Podratz
In-Game Cinematics Artists,Wei Qiao
In-Game Cinematics Artists,Dominic Qwek
In-Game Cinematics Artists,Brandan Vanderpool
In-Game Cinematics Artists,Nelson Wang
Studio Engineer Supervisor,Sean Laverty
Studio Engineers,Kenneth Ayers
Studio Engineers,Douglas Beal
Studio Engineers,Jim Bush
Studio Engineers,Ramon Rodriguez
Studio Engineers,Rob Tomson
Additional Artists,Andrew D. Carr
Additional Artists,Jessica Dru Johnson
Additional Artists,Ioannis Karathomas
Additional Artists,Jeffrey Kember
Additional Artists,Mike Kramer
Additional Artists,Gabriele Pasqualino
Additional Artists,Kirti Pillai
Additional Artists,Casey Robinson
Additional Artists,Michael Su
DVD/VIDEO Production Supervisor,Joeyray Hall
Art,Larissa Bussell
Editor,Jonny Throop
Production Assistants,Michael (Cliff) Threadgold
Production Assistants,Ryan Sly
Technical Director,Matthew Versluys
Project Director,Greg Canessa
Lead Artist,Nick Slough
Lead Producer,Jason Chayes
Lead Programmers,Craig Becker
Lead Programmers,Ben Deane
Lead Programmers,Stefan Mohler
Lead Reliability Engineer,Taner Halicioglu
Artists,Bryan Gidge
Artists,Dohyeong Kim
Artists,Josh Leyshock
Artists,Robert Martin
Artists,Elaine Yang
Designers,Josh Menke
Designers,Colm Nelson
Designers,Alex Sun
Producers,Erin Ali
Producers,Shane Cargilo
Producers,Jack Chen
Producers,Shane Evans
Producers,Dan Hernberg
Producers,Yong Woo
Programming Leads,Chulwoong Choi
Programming Leads,Alan Dabiri
Programming Leads,Russell Foushee
Programming Leads,Sam Lantinga
Programmers,Ed Beranek
Programmers,Laurent Bourcier
Programmers,Diane Capewell
Programmers,Chris Chen
Programmers,Mikyoung Choi
Programmers,Seungki Choi
Programmers,Bryan Cleveland
Programmers,Antony Curtis
Programmers,Sascha Demetrio
Programmers,Gisang Gil
Programmers,Morgan Fainberg
Programmers,Henry Ho
Programmers,Andrew Hunt
Programmers,Robert Jackson
Programmers,Chris Jacobson
Programmers,Fred Lee
Programmers,Anne-Sophie Lefebvre
Programmers,Jeff Mears
Programmers,Ryan Mills
Programmers,Alan Newton
Programmers,Nick Rivera
Programmers,Ricardo Robaina
Programmers,Derek Sakamoto
Programmers,Matthew Schembari
Programmers,Brian Schwab
Programmers,Michael Schweitzer
Programmers,Michael Skacal
Programmers,Christopher Stewart
Technical Writer,Simeon Vincent
Additional Programming,Cameron Chrisman
Additional Programming,Stephen Nees
Additional Programming,Joe Rumsey
Additional Programming,Peter Shinners
Strike Team Lead,Jeffrey Kaplan
Strike Team,Erin Catto
Strike Team,Jake Sones
Strike Team,Ben Brode
Strike Team,Larra Paolilli
Strike Team,Dustin Browder
Strike Team,Ted Park
Strike Team,Shon Damron
Strike Team,Alex Sun
Strike Team,Jeremy Nelligan
Strike Team,Vitaliy Naymushin
Senior Director,Michael Gilmartin
Senior Managers,Frédéric Baudet
Senior Managers,Jong Hyuk Lee
Manager,Jason Walker
Producers,Steve McClory
Producers,Paul Sardis
Programmers,Marius Jivan
Programmers,Jason Lescalleet
Programmers,Dake Lou
Programmers,Michael Murphy
Programmers,Nick Urrea
Programmers,Brian Webb
Content Research Supervisor,Ashok Viswanathan
Content Research Administrators,Pietro Gobbato
Content Research Administrators,Jonathan Hankey
Content Research Administrators,Andrea Opimitti
Content Research Administrators,John Pombo
Content Research Administrators,Hansa Wahla
Team Lead,Brian Fitzgerald
Senior Producer,Melissa Meyer
Artists,Juyoung Oh
Artists,Ryan A. Pearson
Producers,Dennis Crow
Producers,Stephanie Shaver
Programming Leads,Jeffrey C. Jones
Programming Leads,JC Park
Programming Leads,Kyle Riccio
Programming Leads,John Yaney
Programmers,Jay Baxter
Programmers,Andrew Bellinger
Programmers,Rachel “Groby” Blum
Programmers,Don “Dongr” Grey
Programmers,Kevin Kaichuan He
Programmers,Michael Hershberg
Programmers,Aaron Hesse
Programmers,Isaac Jeon
Programmers,Juno Kwak
Programmers,Ken Lamb
Programmers,Jay Lauffer
Programmers,Youngsik Lee
Programmers,Robert Lin
Programmers,Terence Lindsey
Programmers,Lee Morgan
Programmers,Stephen Raub
Programmers,Alex Tearse-Doyle
Programmers,Steve Toscano
Programmers,Stephen Whiting
Programmers,R. Blaine Whittle
Programmers,Casey Yelland
Technician,Monica Alba
QA Manager,Mark Moser
Assistant QA Managers,Kelly Chun
Assistant QA Managers,Edward Kang
Assistant QA Managers,Jonathan Mankin
Assistant QA Managers,Sean McCrea
Assistant QA Managers,Nicholas Pisani
Assistant QA Managers,Brett Roark
Assistant QA Managers,William Roseman
Assistant QA Managers,Shawn Su
QA Supervisors,Dustin E. Bosteder
QA Supervisors,Mike Burghart
QA Supervisors,Michael Corpora
QA Supervisors,Peter Hsu
QA Supervisors,Rick Kennedy
QA Supervisors,Julio Miranda
QA Supervisors,Rian Trost
Lead QA Analyst,Edgar Flores
Assistant Lead QA Analysts,Alicia Kim
Assistant Lead QA Analysts,Dan Kramer
Assistant Lead QA Analysts,John Shin
QA Content Specialists,Don Adams
QA Content Specialists,Andrew Buczacki
QA Content Specialists,Zach Callanan
QA Content Specialists,Colton Carmine
